,CPV_zmix,CPV_PC_0,CPV_PC_1,CPV_PC_2,CPV_PC_3,CPV_PC_4,CPV_PC_5,CPV_PC_6,CPV_PC_7,CPV_PC_8,CPV_PC_9,CPV_PC_10,CPV_PC_11,CPV_PC_12,CPV_PC_13,CPV_PC_14,CPV_PC_15,CPV_PC_16,CPV_PC_17,CPV_PC_18,CPV_PC_19,CPV_PC_20,CPV_PC_21,CPV_PC_22,CPV_PC_23,CPV_PC_24
YiAR,0.0,1.6978637870901001e-22,1.21840409033081e-22,-1.31076950726712e-22,-1.22448772793832e-22,-4.86822655386048e-22,3.17289414715079e-22,1.19693887716131e-21,1.38731188187603e-21,-2.03837795297624e-21,5.05923661014628e-21,2.48959171961944e-21,-4.27090563716663e-21,-1.58463693973897e-20,-1.5143459531468702e-20,-1.0023463078839901e-20,-1.81330912910329e-21,2.25369663534721e-20,2.39424973010902e-20,3.0009870198884603e-20,5.98100272274236e-20,5.99256898526912e-20,1.98228552887251e-22,2.9727170579965205e-20,6.35568530283644e-20,-2.31330217348599e-19
YiC,0.0,6.98240763164105e-05,7.60885000871383e-05,-7.6610264042763e-05,0.0002267711183326,-0.0003524174165639,-0.0008565229803148,0.0016676330023179,0.0006533662149677,0.004795845215635,-0.0031963893752779,0.0053525645600651,-0.0104167883191017,-0.0005481888669903,0.0146602450453553,-0.0155216189152574,-0.0284624573984255,-0.020246659669594,0.063845449028913,-0.141661409724558,-0.245500424647266,-0.401510823106262,-0.0010193592283539,-0.128635627672783,-0.156188251746281,-0.0005952304337326
YiC2H,0.0,0.001038663197676,0.001018047353055,-0.0011167322764866,0.0006930938938863,-0.0041714646950813,-0.0118130917244265,0.0226364165861519,0.0301882223286884,0.0273206196983908,0.0580997006015099,0.0767355098299344,-0.304765768017214,0.155038094962507,0.507257854401909,0.0270403364739245,0.0540831451002148,-0.416011684645235,-0.658185489544203,0.0182295377810593,-0.0080820895248039,-0.0389490138686817,0.0008728713082387,-0.0027262341821747,-0.0026343550249705,0.0359584943637252
YiC2H2,0.141795812729499,0.107220728891333,-0.076111948250728,-0.115827054079913,-0.936148740795022,-0.0999147075171471,0.238614835228718,-0.0230583355256633,0.0501086831219666,-0.0053144845110732,-0.014914837085948,-0.0182062650778998,0.027057006116291,0.0263144489924177,0.013316779493706,-0.0137826809263938,-0.0210744445901834,0.0005924602353727,-0.0052256492828076,0.0019547151295944,-0.0008111756691702,-5.62796062379579e-05,-7.78376141609874e-05,0.0001369463930682,-0.0010145269381039,-0.0001892823965652
YiC2H3,0.0,5.43107297773577e-05,-0.0001765971691487,-3.161664833611e-05,-0.0003111584991203,-3.41285852259375e-05,0.0001618736164892,-0.0007640519658609,-0.0040338654150958,0.0106187408379343,0.0273608025576119,-0.0158523912474263,0.0284650891732875,0.0095842358829187,0.027799806845813,0.0227167897656741,-0.0738686045124575,-0.488345792670027,0.330765113636392,0.0554404359969973,0.637378514092934,-0.322483873404599,0.0933181535363638,0.165713528726522,0.189690006705433,0.137514527802057
YiC2H4,0.215874715628927,0.0886690868487581,-0.937439641907004,-0.0595277263060193,0.161592833136801,-0.173582338455969,0.0654545992848592,0.0137610830650922,0.0297821661185384,-0.0176623004164689,0.0093324556860885,0.0026092406343451,-0.0043337801445148,-0.0071964077786872,-0.009028533412333,0.020825763552998,0.0202735874091454,-0.0071476011123574,0.0019173791353933,0.0088651957512233,-0.0060080886427885,-0.0016275512570633,0.0041746249987849,0.0005321529584903,-0.0009270716807448,-0.0006909604844086
YiC2H5,0.0,2.57027551923186e-05,-0.0002131048457963,-1.46044868669359e-05,5.96228987395724e-05,4.98697855776804e-06,-0.000175476339913,-4.34079927864687e-06,-0.0006024745505008,0.0015666370509088,0.0073478696241775,-0.0032658227301419,0.0082497243432848,0.0021834234380507,0.0049404516944456,-0.0427321202795558,0.0260989522647059,-0.0335344256948472,0.0223134607217938,0.039716723439842,-0.0795061586190265,0.049596347396454,-0.0115281854997893,-0.109130164476051,0.168732007415517,0.217930291552909
YiC2H6,0.0,0.0015426453592168,-0.01458182239814,-0.0009717214247007,0.0041001873635512,-0.0027334767599892,-0.0019553544349305,0.0036782746142847,0.0069474061300527,-0.0133871365766914,0.0573936069661526,-0.0159729010958381,0.0575918121101693,-0.0044020687205033,0.0189660698365527,-0.187919259910398,0.0656773130130847,0.399299132261784,-0.279261456560885,-0.600391677238606,0.455625247692781,-0.116196781681972,-0.30659029487199,-0.0784267857620519,0.13084901902721,0.0499473397693266
YiC3H7,0.0,7.16019896415938e-07,-7.22245285052511e-06,1.29871146981115e-06,2.50674483859762e-06,-6.82708558886881e-06,2.03766015590622e-06,-3.59358875349954e-05,-4.67512173032882e-05,0.0002151257125865,0.0008905114479187,-0.0005625697485503,0.0009567665775008,0.0006467600783614,0.0004719953260557,-0.0014326490459555,0.0022933869803498,-0.0230149949785766,0.0155228472687035,0.0087078431631384,0.0152785852605636,-0.0071795714143392,-0.0600272243019097,0.0626271055227592,-0.0140709892637107,0.0880175201286468
YiC3H8,0.319124833677442,-0.0355622244065973,0.0559698071594501,0.0234586556927775,0.0741108049209833,0.0376679152364208,-0.0238433456604266,-0.0081662534810931,0.106491570674213,-0.321523517096271,-0.010051028445571,-0.13725536941614,0.358558666224463,0.101161328341228,0.371167700063382,-0.321923931117332,-0.598902821494964,0.0558304933440978,0.0198635926886428,0.065987943479411,-0.0306463488576574,0.0501297040144737,0.0134730255958798,0.0165568260410046,-0.0316612183352385,-0.0037410241875544
YiCH,0.0,1.5517385534752e-05,1.64872514773157e-05,-1.69651391967725e-05,3.91650599881759e-05,-7.61699062711728e-05,-0.0001720596918464,0.0003585053052408,0.0001566559963518,0.0007853609506863,-0.0001406644958182,0.0013221033113135,-0.002457000028807,-0.0020581361094014,0.0026092067368513,-0.0026746757448627,-0.0058365482582693,-0.0113109080484629,0.0082956442180375,-0.0340086455934741,-0.0444288383214995,-0.0645328546089883,0.0105304393894046,-0.158962148412652,-0.1683385390971,0.0781996321444517
YiCH2,0.0,2.36169316868899e-05,2.02657612186332e-05,-2.4525621625349e-05,-2.09794675630602e-05,-8.55653384765002e-05,-0.0001864296418032,0.0004126022092264,0.0003464371332505,-0.0002216400880843,0.0024710899772688,0.0008737405155635,-0.0007340874960991,-0.0054859849286865,0.0043847947650677,0.0056874417996823,-0.0026114487616616,-0.0374510750055776,0.0105570887471333,-0.0582388821592973,-0.0167620268146365,-0.012755229783416,0.0443328757781308,-0.393888445968632,-0.316975428305388,0.156147948975969
YiCH2(S),0.0,2.57895714550395e-06,2.38584397753718e-06,-2.63775508786346e-06,5.33351551868843e-07,-1.02453362404373e-05,-2.19438215659369e-05,4.71088731313576e-05,1.61637227834445e-05,-5.71986898614893e-06,0.0002279729428806,0.0001384280996512,-0.0001240258100274,-0.0007525972875613,0.0005926628812547,0.0004945984863947,-0.0003846405474145,-0.0058120875656777,0.00137747722507,-0.0087884148714055,-0.0013367136122523,-0.0045113456652886,0.0064203244901717,-0.0841084004049983,-0.0646511397604212,0.0055626390124843
YiCH2CHO,0.0,4.58074334656649e-06,-5.7020528045974e-05,8.29647060558064e-06,3.28030373952967e-05,-4.86433864972444e-05,6.3124251285369e-06,-0.0001783434071846,-3.04925770293231e-05,0.0002681880836911,0.0042790400800085,-0.0027909962748773,0.0052678180630544,0.0025961791970377,0.0038182107361602,-0.0152327049805141,0.0159588396904929,-0.110470356291281,0.0753237998509472,0.0577660073102679,0.023903204801633,-0.0063882639910578,-0.325239923096891,0.0355294237574888,-0.145133352537146,0.220608938205542
YiCH2CO,0.0,0.003346586848014,-0.0194304518525241,-0.0025764865102362,-0.0078838514727628,0.0049366485974735,-0.0094680837221449,-0.0243703578596339,-0.220403985874036,0.595104467336945,0.651757776706408,-0.188292822359722,0.214964038766729,0.139021621958673,0.0008241671541118,0.108528162034216,-0.226058205663636,0.0382393006448247,-0.0534714785118212,0.0455845382177087,-0.029893229204211,-0.0010764391211943,-0.0102844568271437,-0.0027851160991195,-0.0025388513781106,-0.0003506007152147
YiCH2O,0.0,0.0006160272344489,-0.0049116887446038,-0.0003672739920823,0.0015462537794961,0.0009757387828236,-0.0065548667749555,0.0002161511416118,-0.0203867749951728,0.0569262406846677,0.177999929261578,-0.0608553668254522,0.154339855919335,0.0576953010869288,0.025063016165813,-0.771583897600534,0.517682809544966,-0.146922680192184,0.0754734763719562,0.0523867692376175,-0.0719238686639915,0.0237659141784607,0.119659648319387,0.0569443550240748,-0.0994752085923821,-0.0364175363185917
YiCH2OH,0.0,2.43716012983208e-07,-9.40025134448704e-07,-3.85113115934746e-08,-4.59749701537728e-07,-1.68712826703235e-07,5.88074235261214e-08,-4.49291233852522e-06,-3.17146548134736e-05,3.57333740421884e-05,0.0002059002616844,-9.38861101772824e-05,0.0001888172456646,-6.06777204521626e-05,0.0003226727448093,0.000300150356626,-9.09589205249963e-05,-0.004206012223999,0.002229762420389,-0.0017459049867797,0.0054389996545663,-0.0021995071619011,0.0019558621414898,-0.028697808382213,-0.0181980694426608,-0.0149262664037109
YiCH3,0.0,0.0002917406883333,-6.68540412016548e-05,-0.0002719700304354,-0.0022303758652806,-0.0002704038020096,0.0001362033113843,0.0002105695075699,-0.0004717136202695,-0.0157637424628461,0.0486560202235472,-0.0236547459491526,0.0855372743906749,-0.0535269894181311,0.0750722649032159,0.117737242934531,-0.0215943986691158,-0.422827271663626,0.236871232492069,-0.703397426746801,-0.224355950165188,0.414483385405644,0.0552416512676327,0.0990660504557156,0.0122635472437722,0.0075407392519088
YiCH3CHO,0.0,2.58479037553415e-05,-0.0001726588184761,-1.74639829022033e-05,-3.67130778125822e-06,4.69961863402754e-05,-0.0001926945590167,-9.88613187952269e-05,-0.0013091257554821,0.0035646197398455,0.0057525139629375,-0.0015665279803399,0.0029835106372605,0.001715927850306,-0.0010233073330346,-0.0113930496004858,0.0112312522450457,-0.001704022115099,0.0011923390026008,-0.0157681308967287,0.0304764497096988,-0.0097137617733912,0.0053086342256355,-0.0356328297942018,0.0261364984820969,-0.0267375975202947
YiCH3O,0.0,6.41544119150727e-07,-8.0169592565288e-06,1.26497314046558e-06,4.90619775031924e-06,-6.58947517340082e-06,-1.34222242226105e-06,-2.58861514878068e-05,-3.19848749370288e-07,2.97489918298617e-05,0.0006227211492487,-0.0003975643017729,0.0007902133786985,0.0004060519410515,0.0004984429050758,-0.0027129716124381,0.0037132576032139,-0.0155166559374101,0.0105330285324898,0.0104681306751924,-0.005331923164429,0.0031930345089109,-0.043852409684986,0.0311403888546718,-0.0400662751497972,0.0348948948627377
YiCH3OH,0.0,6.96030080959359e-05,-0.0005136360758169,-4.69377030435061e-05,0.0001079118343381,0.0001541192281227,-0.0007557825727213,1.00901552259803e-05,-0.002603180018481,0.0070016931497728,0.0157031013126022,-0.0037520805410395,0.0104624137272642,0.0046716835876317,-0.0035161894837676,-0.0634823392220013,0.0452146473359573,0.0403732373900784,-0.0279118053684536,-0.0621412386967953,0.05215355277526,-9.38094509857838e-05,0.0863307333454941,-0.055853432394889,0.166691953839733,0.0136748395425115
YiCH4,0.535175785405279,-0.0511208028499233,0.0774780656862819,0.0310351898073927,0.0422329400005528,0.0778813039769882,-0.010267740027128,-0.118861492949563,-0.317895068496077,0.490236809961912,-0.469137580503561,0.0607575288936546,-0.244445613852939,0.0809368673691251,-0.0504910754824186,-0.173104793258714,-0.091613856711037,-0.0094773043590708,0.0469918374505489,-0.0679772270326851,0.0160677879491688,0.0479572909562333,-0.0041311452589365,0.0038814327816236,3.61010377568471e-05,0.0029199012165274
YiCN,0.0,0.0001161991919432,0.0001224479485218,-0.0001261636062761,0.0002880421576871,-0.0005395074721879,-0.0014431576266999,0.002706084141576,0.0019561779869979,0.0066915725914554,-0.0015389447665097,0.0090309027510064,-0.0269447572395229,0.0137502506352198,0.0469427355872524,-0.0155840689052068,-0.0234729121944562,-0.0319254052891807,0.034305437576526,-0.130192703754035,-0.23294603999203,-0.40640587689831,-0.020869151325308,0.182477033518493,0.258825577837017,-0.65188412175253
YiCO,0.0551171549945001,0.433870093466505,0.260862018867103,-0.304423842453479,0.212053863690952,-0.739714238268532,0.229223614183527,0.0159725028384263,-0.0042972881261813,0.0363789762255406,-0.0220064075999329,-0.0024014581805884,0.0007273341452388,-0.0090129711237797,-0.0032685483260478,-0.0221080915475458,-0.0243883248625813,-0.0037291233036931,-0.0037498092510909,-0.0014548916373979,-0.0003630131148627,0.003654925929233,0.0003546795689682,0.0009019479387877,-0.0007997490192869,-0.000164186419816
YiCO2,0.0,0.0464296623266642,0.023972767081433,0.146299625850077,0.0995655654797253,0.202931118996437,0.55613237703243,0.733990801453349,0.140741048703844,0.137494231593506,-0.0950596813314596,-0.160817056139391,-0.0069769714494517,0.0239066792080127,-0.0331698098013164,-0.0219965479018839,-0.022891729807242,-0.01295665897447,-0.0128341312421264,-0.0066566619016913,-0.0009880977632617,0.0052697065653573,4.05793870703034e-05,0.0006758461335377,-0.000337510654227,-0.0002913581578063
YiH,0.0,0.0065236289907046,0.0064989878542044,-0.0038327974496138,0.0256174421021265,-0.0082802527359712,-7.79454138035429e-05,-0.0612022684396623,-0.0413888078194845,0.0338533967768044,-0.264204230783352,-0.259961448211298,0.336778075710828,0.548242943015587,0.359215558438065,0.331563686867015,0.396638864464927,0.143813992364892,0.150351716517714,0.0136145572187272,0.020604825902619,-0.0194148194261352,-0.0082370140897659,-0.0171260591412053,0.0071469852872966,9.94559060221189e-05
YiH2,0.735273867869745,-0.0551635600949234,0.18951877191874,0.0259663450579451,0.0517265685799687,0.0337184371463916,-0.0770153881325451,0.0965953858954953,0.194617147545621,-0.200726451228576,0.341600374005952,0.0143183401246578,0.0186671995056727,-0.097347350066358,-0.1316447174074,0.261240260098888,0.322798355202627,-0.0172656585682941,-0.0440576293699848,0.0168544990554625,0.0033087947762591,-0.0557510289463887,-0.0040041494015258,-0.0101543373658337,0.0142140845428036,-0.0002918943933991
YiH2CN,0.0,1.68017916270005e-07,1.72066461397279e-07,-1.83008907402926e-07,2.80568188636437e-07,-7.61536126659552e-07,-1.79650038454729e-06,3.76924355515261e-06,2.55291044578155e-06,5.77510147167291e-06,3.31605255138123e-06,1.56108117693058e-05,-2.99926951598438e-05,-3.1019187547645e-05,1.90002119985996e-05,-2.41849052364093e-05,-5.85494072797012e-05,-0.000142121939159,1.97573995284068e-06,-0.0003210267524914,-0.0004618870028084,-0.0005164153233938,0.0001346616091543,-0.0019837559300899,-0.0026771252271426,0.0029352670578971
YiH2O,0.0294097787601474,0.0427573630528839,0.0110096390864358,0.0599462275568361,0.0679098625768035,0.152070588364527,0.486565423656301,-0.181517100194425,-0.684316574524406,-0.317257007099487,0.151490930303837,0.095906520924269,-0.0090326135188188,-0.1942917628918,0.192948409800462,0.0663862894064504,0.0952247940484228,0.0550811592427591,0.0487860444608235,0.0275810988138182,0.0061452706300766,-0.0175266881139735,-0.0018692018852072,-0.0027144411794606,0.000756200393216,0.0010586228309716
YiH2O2,0.0,2.36092603382547e-05,-0.0002477290826042,-6.51739226595164e-06,0.0001623390381307,1.74218713230944e-06,-0.0003173180199568,0.0001651125282052,0.0005148934741684,-0.0021218803590216,0.0061369528473699,-0.0027594179855554,0.0103937091767834,0.0012284348200998,0.0077270657319492,-0.0692835537472773,0.0186882074765666,-0.0324424987236251,0.025759990137815,0.0944290358529051,-0.167193485888331,0.101285521651344,0.0282190884457996,-0.4375710778948,0.762195906230336,0.185306056796558
YiHCCO,0.0,1.06604039635732e-05,-2.84391186457657e-05,-3.86447636362859e-06,-4.44961058743053e-05,-4.65568000653704e-06,1.56096464916794e-05,-0.000189146306729,-0.0013607613322366,0.0023174022681444,0.0083643466751123,-0.0041897365582369,0.0084758339895324,-0.0015813776789845,0.0131010233599273,0.0169482740700999,-0.0348919700353813,-0.153751802202187,0.0956326949237223,-0.0515780224682839,0.202944261062989,-0.0626812164195024,0.148090319642573,-0.679909517830306,-0.160372046498078,-0.389609531472794
YiHCCOH,0.0,4.72170153743206e-06,-2.53290139333348e-06,-3.81198206398015e-06,-4.04791976960091e-05,5.01685215646954e-06,3.53711326481959e-06,-3.1129757871912e-05,-0.0002203512962956,-0.0004492371035036,0.0007645716772475,-0.0002439828939028,0.0018334163017689,-0.0025459082008848,0.0039793974161241,0.0033869173898052,0.0005072207337897,-0.0167620712731943,0.0039335769205034,-0.0280552455053312,0.0034470186925078,0.010933551336231,0.0136643375757104,-0.115396326467063,-0.0558174221041421,-0.0207769237259384
YiHCN,0.0,0.0046850500186808,0.0033171793849471,-0.0052097834393133,-0.0121791593424453,-0.0178460046486131,-0.0240291509373849,0.0766990191584958,0.153065262801066,0.0068660561735201,0.277229163128558,0.131403349116699,-0.600083904835146,0.168188492964549,0.397740554911117,-0.0656125027735583,-0.0157157982639919,0.300795822081121,0.475021932619817,-0.0206500585846755,0.0277021486557582,0.0818482372048811,0.001297232403571,-5.00212267088049e-05,-0.0108451744785949,0.0086028278502929
YiHCNN,0.0,3.2065710128125503e-09,2.8548272886590404e-09,-2.73619042206244e-09,5.78540227234831e-09,-2.4448491741277e-09,-5.24062557822529e-08,4.80158837875474e-08,-8.69551188084626e-08,-2.16324067164234e-07,2.06662673781728e-07,5.67746792321039e-07,-6.98468212702199e-07,-1.22620433482569e-06,1.25764970390965e-06,5.33530049605232e-07,-8.08418715535324e-07,-1.34500614367468e-05,-6.74377621029554e-06,-2.08676121805635e-05,-2.40980660951215e-05,-3.64139317719565e-05,1.85884615232913e-05,-0.0003694652340877,-0.0004152211488861,0.000218235251283
YiHCNO,0.0,8.52761525722556e-08,-1.25264207394503e-07,-9.947722059850632e-09,-3.58937892490875e-07,1.00820667197363e-07,-8.17043446617546e-07,-4.34715667415706e-07,-3.5092192569573e-06,6.46211558294278e-07,-6.37854101598222e-06,3.25945263298409e-06,-1.28151151804279e-05,-2.88802164854213e-05,-1.17757107237708e-05,3.52582127491913e-06,6.71480478124437e-06,-9.30854808077944e-05,-2.36533510343466e-05,-9.6015669712739e-05,-0.0001318388517098,-0.0001408803440463,5.86757138319616e-05,-0.0010266410990696,-0.0013470088086323,0.0011024006129494
YiHCO,0.0,5.09623451988015e-06,-1.11643916439847e-05,-7.78458760469065e-07,1.47720052196764e-05,-1.90833594355645e-05,-4.96258743991638e-06,-6.91980656951147e-05,-0.0003082780072401,0.000739581830452,0.0029094645447174,-0.0017391464798756,0.0032095466323686,0.0010343054358694,0.0027958819021254,-0.0014823964181514,0.0010066997007386,-0.0666123369369995,0.0438892914353146,0.008526484490591,0.0785522881376023,-0.0486929364317645,-0.0504613243574965,-0.0906517035396626,-0.123737876019578,0.0048493750266181
YiHNCO,0.0,3.21662309780456e-06,2.37595008955265e-06,-3.45493678561707e-06,-3.04624374219607e-06,-1.26233588379999e-05,-1.78317407312906e-05,5.11416458998428e-05,3.35902876138323e-05,1.98421163932271e-05,2.85140567708505e-05,0.000182022440684,2.96151041117373e-05,-0.0007941080698729,-0.0004741950165588,-0.000296477557191,-0.0007687445702258,-0.0018894123941008,-0.0009079263551729,-0.0033388152525659,-0.0055869550318416,-0.006774023467854,0.0008952242017537,-0.0132988462919638,-0.018824413509236,0.0369706960953398
YiHNO,0.0,1.51295781777312e-06,1.23311202270323e-06,9.07324948030427e-07,6.34500269904478e-06,5.82510389149684e-06,1.71675988252603e-05,-3.88751120158202e-05,6.10110212705349e-06,-1.16278653135343e-05,-5.99342299638884e-06,1.04987210961388e-05,3.43645629054017e-05,3.52011980045313e-05,-4.42065031084497e-05,1.57420052664125e-05,3.1244126903824e-06,-1.2932050936607e-05,-3.69276736156164e-05,-7.77858653678662e-06,-9.3674589381614e-05,-0.0003178833488097,0.000115636862567,-0.0006339896083586,-0.0006900465093562,0.0047445259140115
YiHO2,0.0,3.35678997754757e-05,-0.0001664129847457,9.76657454679241e-05,0.0001495869381829,-3.33807892473725e-05,8.8181724102201e-05,-0.000565521550761,0.0006984519172513,-0.0013502983091603,0.0081861181563333,-0.0040119721409865,0.0092777936369403,0.0046064421556503,0.00512028527441,-0.0390564729239935,0.0205524828381115,-0.221734267217736,0.140303265752878,0.150298334187729,-0.0853824825972618,0.0565712832758899,-0.855683095249535,-0.118407684540336,0.0112848528634194,-0.146472436795236
YiHOCN,0.0,7.12000395895952e-08,6.60941645540518e-08,-7.65989955118338e-08,2.96453001464318e-08,-2.92136299603389e-07,-4.67985918035579e-07,1.2054846666193e-06,-3.16958941687605e-08,2.8378203848059e-08,-8.01807220863025e-07,5.05503881284225e-06,8.37764874799422e-06,-2.57432006905415e-05,-1.89729314405535e-05,-6.56894209926358e-06,-2.64577270861076e-05,-7.21096010030854e-05,-4.44572341530669e-05,-0.0001234615340235,-0.0002092131981067,-0.0002889105106785,3.29609831267266e-05,-0.0007100727773457,-0.0008475376359503,0.0014124168430175
YiN,0.0,0.0001501175055289,0.0001581950996473,-0.0001293809881468,0.0005883045837365,-0.0004810256894784,-0.001160751253802,0.0009202258514758,0.0006240029866662,0.0080429417130347,-0.0102787222300688,0.0018798114950773,-0.0017649060472216,0.0074266229389088,0.0185173729134015,-0.0154651456768733,-0.0349320497881689,-0.0178217415572095,0.0907870494903525,-0.183101654452191,-0.334604128208573,-0.57254776594771,-0.0185343268806694,-0.0231180445894592,0.0086908733602687,0.40549237636793
YiN2,0.0225339134895459,0.876531938864583,-0.0094893511512527,0.0489216591223525,-0.0050010998293753,0.419140073788353,-0.229745293215975,-0.002187436380829,-0.0054686189184662,-0.0122503471380625,-0.0014816027357348,0.0038969005841849,-0.0002025108639998,0.0005107792523737,-0.0029270311680722,0.0007534359780249,-0.0015765621960881,-0.0002349172474086,0.0002448701515793,0.0003015503432154,-2.91758265488717e-05,0.0001062691570291,3.20948495140782e-05,4.86925265658211e-05,-3.80348681858349e-05,-1.19114303763829e-05
YiN2O,0.0,1.12844493071825e-06,7.44463909211533e-07,2.21195043335036e-06,3.58213899501251e-06,5.99817245867442e-06,1.06942964298556e-05,-6.11026391393932e-06,1.5341252825758e-05,8.16395642729097e-06,-4.6901440991266e-06,3.33066840574592e-05,1.8185133505551e-06,-3.72845874570769e-05,-6.11051413975722e-05,-2.82640959077715e-05,-0.0001834113524418,-0.000154718837748,-6.34823521903849e-05,-3.08423137168713e-05,-0.0002741300975549,-0.000331650763139,8.0503981404534e-06,-6.63107817766482e-05,-0.0006489213107917,0.002348311497831
YiNCO,0.0,7.46626835231384e-07,8.39491513157038e-07,-7.92278859754458e-07,3.15373779178419e-06,-3.82065155678986e-06,-6.81370119162927e-06,1.4318568254123e-05,-7.77856888912476e-06,4.04973678732956e-05,-6.08737764469797e-05,6.82000374638522e-05,6.67912911884872e-05,-0.000204196717482,-0.000204833824971,-0.0001923698422988,-0.0004586440283725,-0.0005655024352535,-3.33331668758798e-05,-0.0010385391697509,-0.0021750008205633,-0.0038840399088969,0.0001143456870702,-0.0039011712449565,-0.0043869168798966,0.0150295160411322
YiNH,0.0,2.7090505725022e-05,2.92793924084014e-05,-2.7665139822324e-05,9.36450943450629e-05,-0.0001216503940919,-0.0002578716447952,0.0004569681312889,0.0001421996650916,0.0015319774682323,-0.0012553567826994,0.0016931437721901,-0.0022757224847611,-0.0015146848649878,0.002141330313719,-0.0053896889730984,-0.010460821723791,-0.0086088055307369,0.0133507144154271,-0.0370157644733056,-0.065684277265262,-0.105397176307923,0.0001407972353801,-0.0328295938153204,-0.0537642207854322,0.175653352693749
YiNH2,0.0,7.22263437564847e-06,7.6247069838776e-06,-7.87610951805499e-06,1.60786492158434e-05,-3.50977422133544e-05,-6.79792892426286e-05,0.0001528758498154,9.26294836477453e-05,0.0003140282204261,-2.85210132817359e-06,0.0006067255076339,-0.00097063760135,-0.0011481664548766,0.0002191261575741,-0.0013763744970973,-0.0027904808530558,-0.0033567316455947,0.0011992134859843,-0.0083804410951926,-0.0144193585756279,-0.0191149846226261,0.0016164865882078,-0.0228675667925771,-0.0385034234651432,0.0834996209197778
YiNH3,0.0,1.3367251061163e-05,4.21538055718983e-06,-1.43995075520247e-05,-7.46250774809798e-05,-3.27706998136668e-05,-1.9440843046413e-05,0.0001189340505573,0.0003065121621214,-0.0003731817726098,0.0004432069773319,4.97433817814728e-05,0.0002900140098454,-0.000733467862404,-0.0011221440990088,1.19060146229207e-05,0.0005179397411966,-0.0025510139010089,-0.0021055461220695,-0.0064153533080269,-0.0083732816788618,-0.0110595106959064,0.001686031995469,-0.0188537791024421,-0.0293913870927399,0.0457834636042104
YiNNH,0.0,2.74552180432089e-07,2.70917958790731e-07,-1.51921668007769e-07,1.11140301127098e-06,-2.37564959511706e-07,-1.16060507223957e-07,-3.2683754685614e-06,-1.59231766142835e-06,1.67100457161792e-06,-1.29448686972145e-05,-1.13378051707592e-05,1.80097786288458e-05,2.93305092577814e-05,1.31499817036069e-05,1.57509917308925e-05,8.5969844997142e-06,-2.35974181977278e-06,9.67330321185909e-06,-2.88470944423384e-05,-5.41742778355791e-05,-8.37926351286993e-05,3.60105764028004e-06,-0.000144830296849,-0.0001762219090805,0.0006260285714794
YiNO,0.0,0.0169772785302993,0.0114356673060541,0.0348949708418105,0.0554259744195296,0.0851928831196137,0.223548219656809,-0.10211272804532,0.243735626598786,0.197347581841916,0.0115189783897725,0.834695204650252,0.338296353686441,0.0935682917239284,0.0834645401277353,0.0268487240182431,0.0119305728354184,0.0240518912067281,0.0262965501721109,0.0097241705448788,0.0046864835280056,0.0034011636764612,-0.0003931749669335,-0.0008057912417667,-0.0010896849760201,0.0001486196132682
YiNO2,0.0,9.13081062065677e-06,4.11816695280377e-06,5.7654716469945e-05,6.49375779855672e-06,8.57837037789153e-06,8.60479020477592e-05,9.44309175150047e-05,0.0001001985909825,0.0002599341453238,2.93834981170817e-05,0.0008278875532577,0.0003875378060544,9.33781806695971e-05,0.0005255221481816,5.38690117294532e-05,0.0013681129152357,0.0016304391031071,0.0002346325920266,-0.0006256379894628,0.0011317856226933,-0.0009947936553202,0.0032155900133322,-0.0034800432884813,0.0054765680815219,0.0079699916436938
YiO,0.0,0.0269135669684824,0.0193618590723273,0.0358405089349965,0.0995905731800063,0.143771139288248,0.342105131313005,-0.504878455892004,0.450744949444654,0.235465090903025,-0.0547555810792944,-0.329009091043754,-0.0273566601208391,-0.420093714102398,0.198772188643261,0.0291926033785819,0.071713912136016,0.0342523097819929,0.0167903241916697,0.0280770489555327,0.0071074035661912,-0.0139496211848667,-0.0015540011877584,-0.0011300393015859,0.0005987133340341,-0.0009316159513376
YiO2,0.0,0.107053468134623,0.0008173441930542,0.925893678388521,-0.0707280882605406,-0.348347662973257,-0.027739389606899,-0.0640995775626502,0.0003251245337467,-0.0010183622525798,0.0034719460032409,0.0001252829388922,-0.0025056743655277,0.0022965307219688,-0.002525741822711,-0.0007662037673996,-0.0005551418356633,-0.0005361417759186,-0.0006761753465553,-0.000426866157591,-0.0001022224876467,2.3242614480568e-05,0.000121549510305,2.8345773741473e-05,2.08047185260901e-05,5.58545892006131e-06
YiOH,0.0,0.025147187787709,0.018726840490058,0.0309230143968927,0.0957072278271871,0.119961578281223,0.334933075818541,-0.351573217978561,0.143096665711901,-0.200388525927403,0.116672800735356,-0.0756521405410107,-0.214547074517768,0.608664916536825,-0.449660728291093,-0.0717315553328856,-0.121271920006662,-0.0987998911580234,-0.0759562985219204,-0.0631351946561008,-0.0176620773371363,0.0182930511010378,0.0040699189626964,0.0025300020694212,0.0014325370829012,0.0005486172141074
